"Source:","C:\Users\Walter\Documents\GitHub\KosmoTuringMachine\TuringMain\TuringMain.kicad_sch"
"Date:","6/17/2022 11:51:15 AM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","108"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","SKU","Vendor"
"","","R36","10k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R37","10k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R38","10k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R39","10k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","SCALE1","50k","ao_symbols:R_POT","ao_tht:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_centered","~","","Tayda"
"","","SHIFTREG_EXT1","4015","TuringBack-eagle-import:4015N","TuringBack:DIL16","","",""
"","","SHIFTREG_MAIN1","4015","TuringBack-eagle-import:4015N","TuringBack:DIL16","","",""
"","","SV1","10_PIN_HEADER","ao_symbols:Synth_power_2x5","ao_tht:Power_Header","","A-2939","Tayda"
"","","SWITCH_IC1","4016","TuringBack-eagle-import:4016N","TuringBack:DIL14","","",""
"","","T1","2N3904","ao_symbols:2N3904","ao_tht:TO-92_Inline_Wide","","A-111","Tayda"
"","","TL431","TL431CLP","Reference_Voltage:TL431LP","Package_TO_SOT_THT:TO-92_Inline","http://www.ti.com/lit/ds/symlink/tl431.pdf","",""
"","","U1","TL074_","TuringFront-eagle-import:TL074_","TuringFront:DIL14","","",""
"","","U$2","DAC0800","TuringFront-eagle-import:DAC0800","TuringFront:DIL16","","",""
"","","UNK1","LED5MM","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","UNK2","LED5MM","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","UNK3","LED5MM","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","UNK4","LED5MM","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","UNK5","LED5MM","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","UNK6","LED5MM","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","UNK7","LED5MM","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","UNK8","LED5MM","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","VR1","1m","TuringFront-eagle-import:BOURNS_3362P_TRIMMERP","ao_tht:Potentiometer_Bourns_3296W_Vertical_screw_centered","","",""
"","","WRITE1","T-80-T-SPDT-ON-OFF-ON","TuringFront-eagle-import:T-80-T-SPDT-ON-OFF-ON","ao_tht:SPDT-toggle-switch-1M-series","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","SKU","Vendor"
"1","2","AND_1, AND_2","4081","TuringBack-eagle-import:4081N","TuringBack:DIL14","","",""
"2","2","BUFFER1, BUFFER2","4050","TuringBack-eagle-import:4050N","TuringBack:DIL16","","",""
"3","14","C1, C2, C3, C4, C7, C8, C13, C14, C16, C19, C21, C22, C26, C27","100n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"4","2","C5, C6","10uf","ao_symbols:CP","ao_tht:CP_Radial_D6.3mm_P2.50mm","","","Tayda"
"5","1","C9","10n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"6","3","C10, C11, C18","0.47uf","TuringFront-eagle-import:C-EU050-035X075","TuringFront:C050-035X075","","",""
"7","6","C12, C17, C20, C23, C24, C25","1n","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"8","1","C15","330pf","TuringFront-eagle-import:C-EU050-024X044","TuringFront:C050-024X044","","",""
"9","2","CHANGE1, SCALE1","50k","ao_symbols:R_POT","ao_tht:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_centered","~","","Tayda"
"10","10","CLK1, PULS1, UNK1, UNK2, UNK3, UNK4, UNK5, UNK6, UNK7, UNK8","LED5MM","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"11","5","CLOCK1, CV_IN1, CV_OUT1, NOISE-OUT1, PULSE_OUT1","THONKICONNNEW","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"12","1","D2","1N4148","TuringFront-eagle-import:SMALL_DIODEDO35-7","TuringFront:DO35-7","","",""
"13","1","GATES1","MA08-2","Connector_Generic:Conn_02x08_Odd_Even","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical","~","",""
"14","1","IC1","TL072P","TuringBack-eagle-import:TL072P","TuringBack:DIL08","","",""
"15","2","IC2, IC3","78L09","ao_symbols:L78L05_TO92","Package_TO_SOT_THT:TO-92_Inline","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf","A-176","Tayda"
"16","1","J1","Conn_01x10_Male","Connector:Conn_01x10_Male","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~","",""
"17","1","J2","Conn_01x10_Female","Connector:Conn_01x10_Female","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~","",""
"18","2","L1, L2","BL01RN1A","TuringBack-eagle-import:BL01RN1A","TuringBack:BL01RN1A","","",""
"19","1","LENGTH1","ALPS-SRBV","TuringFront-eagle-import:ALPS-SRBV","TuringFront:ALPS-SRBV","","",""
"20","1","PULSES1","MA08-2","busboard-cache:Connector_Generic_Conn_02x08_Odd_Even","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical","","",""
"21","10","R1, R4, R6, R8, R13, R14, R15, R16, R17, R21","2.2k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"22","2","R2, R9","15k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"23","1","R3","68k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"24","1","R5","51k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"25","2","R7, R31","470k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"26","4","R10, R22, R25, R29","100k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"27","1","R11","100k","TuringFront-eagle-import:RESISTOR7MM","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","",""
"28","10","R12, R23, R30, R33, R34, R35, R36, R37, R38, R39","10k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"29","3","R18, R19, R32","1k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"30","1","R20","3.3k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"31","1","R24","47k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"32","1","R26","5.1k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"33","2","R27, R28","1.6k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"34","2","SHIFTREG_EXT1, SHIFTREG_MAIN1","4015","TuringBack-eagle-import:4015N","TuringBack:DIL16","","",""
"35","1","SV1","10_PIN_HEADER","ao_symbols:Synth_power_2x5","ao_tht:Power_Header","","A-2939","Tayda"
"36","1","SWITCH_IC1","4016","TuringBack-eagle-import:4016N","TuringBack:DIL14","","",""
"37","1","T1","2N3904","ao_symbols:2N3904","ao_tht:TO-92_Inline_Wide","","A-111","Tayda"
"38","1","TL431","TL431CLP","Reference_Voltage:TL431LP","Package_TO_SOT_THT:TO-92_Inline","http://www.ti.com/lit/ds/symlink/tl431.pdf","",""
"39","1","U1","TL074_","TuringFront-eagle-import:TL074_","TuringFront:DIL14","","",""
"40","1","U$2","DAC0800","TuringFront-eagle-import:DAC0800","TuringFront:DIL16","","",""
"41","1","VR1","1m","TuringFront-eagle-import:BOURNS_3362P_TRIMMERP","ao_tht:Potentiometer_Bourns_3296W_Vertical_screw_centered","","",""
"42","1","WRITE1","T-80-T-SPDT-ON-OFF-ON","TuringFront-eagle-import:T-80-T-SPDT-ON-OFF-ON","ao_tht:SPDT-toggle-switch-1M-series","","",""
